,title,author,theme,genre,volumes,info,img_element,paga_url
13,僕のヒーローアカデミア,堀越耕平,バトル・アクション,少年マンガ,既刊38巻,"多くの人間が“個性""という力を持つ。だが、それは必ずしも正義の為の力ではない。しかし、避けられぬ悪が存在する様に、そこには必ず我らヒーローがいる! ん? 私が誰かって? HA‐HA‐HA‐HA‐HA! さぁ、始まるぞ少年! 君だけの夢に突き進め! “Plus Ultra""!!",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088835530.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/65983
14,DEATH NOTE デスノート,大場つぐみ,SF・ファンタジー,少年マンガ,完結・全13巻,このノートに名前を書かれた人間は死ぬ…。死神 リュークが人間界に落とした一冊のノート「DEATH NOTE」。ここから、二人の選ばれし者「夜神月」と「L」の壮絶な戦いが始まる！！　かつてないスリルとサスペンス！！,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088740955.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/16639
15,ブルーピリオド,山口つばさ,ヒューマンドラマ,青年マンガ,既刊14巻,成績優秀かつスクールカースト上位の充実した毎日を送りつつ、どこか空虚な焦燥感を感じて生きる高校生・矢口八虎(やぐち やとら)は、ある日、一枚の絵に心奪われる。その衝撃は八虎を駆り立て、美しくも厳しい美術の世界へ身を投じていく。美術のノウハウうんちく満載、美大を目指して青春を燃やすスポ根受験物語、八虎と仲間たちは「好きなこと」を支えに未来を目指す!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4065297303.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/111430
16,ハイキュー!!,古舘春一,学園,少年マンガ,完結・全45巻,おれは飛べる!!　バレーボールに魅せられ、中学最初で最後の公式戦に臨んだ日向翔陽。だが、「コート上の王様」と異名を取る天才選手・影山に惨敗してしまう。リベンジを誓い烏野高校バレー部の門を叩く日向だが!?,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088824717.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/65411
17,ゴールデンカムイ,野田サトル,バトル・アクション,青年マンガ,完結・全31巻,"『不死身の杉元』日露戦争での鬼神の如き武功から、そう謳われた兵士は、ある目的の為に大金を欲し、かつてゴールドラッシュに沸いた北海道へ足を踏み入れる。そこにはアイヌが隠した莫大な埋蔵金への手掛かりが!? 立ち塞がる圧倒的な大自然と凶悪な死刑囚。そして、アイヌの少女、エゾ狼との出逢い。『黄金を巡る生存競争』開幕ッ!!!!
",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088923707.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/66143
18,怪獣8号,松本直也,SF・ファンタジー,少年マンガ,既刊10巻,【デジタル版限定！「少年ジャンプ＋」掲載時のカラーページを完全収録!!】怪獣発生率が世界屈指の日本。この国は、容赦なく怪獣が日常を侵していた。かつて防衛隊員を目指していたが、今は怪獣専門清掃業で働く日比野カフカ。ある日カフカは、謎の生物によって、身体が怪獣化、怪獣討伐を担う日本防衛隊からコードネーム「怪獣8号」と呼ばれる存在になる。,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088834437.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/122947
19,BEASTARS,板垣巴留,学園,少年マンガ,完結・全22巻,肉食獣と草食獣が共存する世界。そこには、希望も恋も不安もいっぱいあるんだ。チェリートン学園の演劇部員レゴシは、狼なのにとっても繊細。そんな彼が多くの動物たちと青春していく動物群像劇が始まる!!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4253229107.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/99970
20,ザ・ファブル,南勝久,バトル・アクション,青年マンガ,完結・全22巻,"『なにわ友あれ』完結から4ヵ月──。南勝久、新連載銃撃開始ッ!!
鈍色の愛銃ナイトホークを手に、“殺し屋ファブル”が町にやってくる──!!
どんな敵も鮮やかに葬り去る“殺しの天才”通称ファブルは、相棒の女とともに、日々、裏社会の仕事をこなす日々‥‥。
だがある日、ボスの突然の指令を受け、“○○○”として、まったく新しい生活
を送るハメに‥‥。
そしてファブルの野蛮で、滑稽で、奇妙な“寓話”が弾け出したッ‥‥!!!

“寓話”と呼ばれし、風変わりな“殺しの天才”が、この待ちにひっそりと棲んでいる──!!",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4065199840.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/62746
21,BLEACH,久保帯人,SF・ファンタジー,少年マンガ,完結・全74巻,"黒崎一護・15歳・ユウレイの見える男。その特異な体質のわりに安穏とした日々を送っていた一護だが、突如、自らを死神と名乗る少女と遭遇、「虚」と呼ばれる悪霊に襲われる。次々と倒れる家族を前に一護は!?
",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/408880774X.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/64043
22,僕の心のヤバイやつ,桜井のりお,恋愛・ラブコメ,青年マンガ,既刊8巻,"ネットで話題! 陽キャ美少女×陰キャ少年の
ニヤニヤ系青春格差ラブコメディ! ! 
学園カースト頂点の美少女・山田杏奈の殺害を妄想してはほくそ笑む、重度の中二病の陰キャ・市川京太郎。
だが山田を観察する内に、京太郎が思う「底辺を見下す陽キャ」とは全然違うことに徐々に気づいていき…! ?
陰キャ男子・京太郎の初めて恋、始まる。
コミックスでしか読めない激レアエピソード描き下ろし漫画あり! ",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/425322685X.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/116133
