,title,author,theme,genre,volumes,info,img_element,paga_url
44,五等分の花嫁,春場ねぎ,恋愛・ラブコメ,少年マンガ,完結・全14巻,貧乏な生活を送る高校2年生・上杉風太郎のもとに、好条件の家庭教師アルバイトの話が舞い込む。ところが教え子はなんと同級生!! しかも五つ子だった!! 全員美少女、だけど「落第寸前」「勉強嫌い」の問題児! 風太郎は、超個性的な彼女たちを「卒業」まで導けるか──!?,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4065186870.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/111501
45,アイシールド21,稲垣理一郎,スポーツ,少年マンガ,完結・全37巻,"泥門高校1年・小早川瀬那。気弱な性格が災いし、幼き頃よりパシリ人生を送ってきた。だがそのおかげで（？）ズバ抜けた俊足を持つ瀬那は、悪魔のごとき男・ヒル魔によりアメフト部へと引きずり込まれるが！？

",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088747356.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/16604
46,聲の形,大今良時,学園,少年マンガ,完結・全7巻,"お前なんかに出会わなきゃよかった。
もう一度、会いたい。

耳の聞こえる少年・石田将也(いしだしょうや)。
耳の聞こえない転校生・西宮硝子(にしみやしょうこ)。
ふたりは運命的な出会いをし、そして、将也は硝子をいじめた。
やがて、教室の犠牲者は硝子から将也へと移っていった。
幾年の時を経て、将也は、 もう一度、硝子に会わなければいけないと強く思うようになっていた。
週刊少年マガジン掲載時に、空前の大反響を巻き起こした衝撃作。",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4063952681.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/63772
47,ちはやふる,末次由紀,スポーツ,少女マンガ,完結・全50巻,"まだ“情熱”って言葉さえ知らない、小学校6年生の千早。
そんな彼女が出会ったのは、福井からやってきた転校生・新。大人しくて無口な新だったが、彼には意外な特技があった。それは、小倉百人一首競技かるた。千早は、誰よりも速く誰よりも夢中に札を払う新の姿に衝撃を受ける。しかし、そんな新を釘付けにしたのは千早のずば抜けた「才能」だった……。
まぶしいほどに一途な思いが交差する青春ストーリー。
",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4065302064.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/58650
48,東京喰種 トーキョーグール :re,石田スイ,バトル・アクション,青年マンガ,完結・全16巻,"群集に紛れ、ヒトの肉を喰らう。ヒトの形をしながら、ヒトとは異なる存在…“喰種""。“喰種""を駆逐・研究する〔CCG〕は、あるひとつの命題を果たすため、実験体集団を新設。──その名は「クインクス」。「まともな人間」ではない彼らと、佐々木琲世一等捜査官が“東京""で向き合うものとは──!?
",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088910508.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/99901
49,GANTZ,奥浩哉,SF・ファンタジー,青年マンガ,完結・全37巻,"
地下鉄のホームで撥ねられ死んだはずの玄野、加藤は謎のマンションの一室に一瞬にして転送される。そこに置かれた得体の知れない黒い球の指令により、ねぎ星人の暗殺を命じられた玄野らは、状況を把握できないままねぎ星人の元へと転送される。マンションにいた仲間によってねぎ星人は殺されるが、新たなねぎ星人が現れ…。",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088796276.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/16916
50,銀の匙 Silver Spoon,荒川弘,学園,少年マンガ,完結・全15巻,大自然に囲まれた大蝦夷農業高校に入学した八軒勇吾。授業が始まるなり子牛を追いかけて迷子、実習ではニワトリが肛門から生まれると知って驚愕…などなど、都会育ちには想定外の事態が多すぎて戸惑いの青春真っ最中。仲間や家畜たちに支えられたりコケにされたりしながらも日々奮闘する、酪農青春グラフィティ!!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4091295495.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/66803
51,僕だけがいない街,三部けい,ミステリー・サスペンス,少年マンガ,完結・全9巻,毎日を懊悩して暮らす青年漫画家の藤沼。ただ彼には、彼にしか起きない特別な症状を持ち合わせていた。それは…時間が巻き戻るということ! この現象、藤沼にもたらすものは輝く未来? それとも…。,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4041048796.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/55283
52,金色のガッシュ!!,雷句誠,バトル・アクション,少年マンガ,完結・全33巻,天才中学生・高嶺清麿のもとに、突然現れた謎の子供・ガッシュ。呪文によって不思議な能力を発揮する彼が、清麿と共に、次々と現れる敵と死闘を繰り広げる!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4091213995.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/18056
53,暗殺教室,松井優征,SF・ファンタジー,少年マンガ,完結・全21巻,"号令と共に教室を満たす銃声! 椚ヶ丘中学校3年E組は生徒全員が先生の命を狙う暗殺教室。教師と生徒、標的と暗殺者の異常な日常が始まる――!!
",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088807278.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/65444
54,女の園の星,和山やま,学園,女性マンガ,既刊3巻,"「声を出して笑った」の声、続出!!!
漫画賞総ナメ『夢中さ、きみに。』の和山やま初連載！
ある女子校、２年４組担任・星先生。生徒たちが学級日誌で繰り広げる絵しりとりに翻弄され、教室で犬のお世話をし、漫画家志望の生徒にアドバイス。時には同僚と飲みに行く…。な～んてことない日常が、なぜこんなにも笑えて愛おしいんでしょう!?どんな時もあなたを笑わせる未体験マンガ、お確かめあれ！電子版にも本体表紙を収録！",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4396768699.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/122427
55,メイドインアビス,つくしあきひと,SF・ファンタジー,青年マンガ,既刊12巻,"限界深度2万メートル以上!?
人類最後の未踏の深淵には何があるのか…?

隅々まで探索されつくした世界に、唯一残された秘境の大穴『アビス』。どこまで続くとも知れない深く巨大なその縦穴には、奇妙奇怪な生物たちが生息し、今の人類では作りえない貴重な遺物が眠っている。
「アビス」の不可思議に満ちた姿は人々を魅了し冒険へと駆り立てた。そうして幾度も大穴に挑戦する冒険者たちは、次第に『探窟家』呼ばれるようになっていった。

アビスの縁に築かれた街『オース』に暮らす孤児のリコは、いつか母のような偉大な探窟家になり、アビスの謎を解き明かすことを夢見ていた。そんなある日、リコはアビスを探窟中に、少年の姿をしたロボットを拾い…?

細密で独創的な絵柄が魅力のイラストレーター界の鬼才・つくしあきひとが、待望の商業デビュー!! ",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4801981089.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/89735
56,四月は君の嘘,新川直司,恋愛・ラブコメ,少年マンガ,完結・全11巻,「あの日、僕はピアノが弾けなくなった‥‥」仄暗い青春を過ごす元・天才少年、有馬公生。夢も恋もない世界に佇む、彼に差し伸べられた手は名も知れぬ少女のものだった!! 少女の名は宮園かをり。性格最低・暴力上等の彼女はしかし、まぎれもなく最高のヴァイオリニストだった!公生は、かつて住んでいた音楽の世界に、強引に引きずり戻される。カラフルに色づく、音楽の世界に! 完結後の今もなお、各界からの絶賛の声が鳴り止まない音楽コミックの金字塔!「音が聴こえる」その描写から、目が離せない!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4063714675.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/59890
57,彼方のアストラ,篠原健太,SF・ファンタジー,少年マンガ,完結・全5巻,"宇宙への往来が当たり前になった近未来。高校生のカナタ、アリエスら9名は“惑星キャンプ""に旅立つ。未体験の宇宙旅行に胸を躍らせながら惑星に降り立った彼らを待ち受ける、予想外の事態とは!? 近未来SFサバイバルストーリー、始動!!
",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088813146.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/66109
58,転生したらスライムだった件,川上泰樹,SF・ファンタジー,少年マンガ,既刊23巻,"通り魔に刺されて死んだと思ったら、異世界でスライムに転生しちゃってた!?相手の能力を奪う「捕食者」と世界の理を知る「大賢者」、2つのユニークスキルを武器に、スライムの大冒険が今始まる!

WEBで1億4000万PVの異世界転生モノの名作を、原作者完全監修でコミカライズ!巻末には原作者書き下ろしの短編小説を収録した、ファン必携の単行本いよいよ発売!",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/406531626X.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/61682
59,バガボンド,井上雄彦,ヒューマンドラマ,青年マンガ,既刊37巻,"「強い」とはどういうことか……。
六十余戦無敗だった男「宮本武蔵」を、井上雄彦が圧倒的画力で描く超話題作!",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/406388340X.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/7850
60,チ。―地球の運動について―,魚豊,政治・ビジネス,青年マンガ,完結・全8巻,動かせ　歴史を　心を　運命を　――星を。舞台は15世紀のヨーロッパ。異端思想がガンガン火あぶりに処せられていた時代。主人公の神童・ラファウは飛び級で入学する予定の大学において、当時一番重要とされていた神学の専攻を皆に期待されていた。合理性を最も重んじるラファウにとってもそれは当然の選択であり、合理性に従っている限り世界は“チョロい”はずだった。しかし、ある日ラファウの元に現れた謎の男が研究していたのは、異端思想ド真ン中の「ある真理」だった――命を捨てても曲げられない信念があるか？　世界を敵に回しても貫きたい美学はあるか？　アツい人間を描かせたら敵ナシの『ひゃくえむ。』魚豊が描く、歴史上最もアツい人々の物語！！　ページを捲るたび血が沸き立つのを感じるはず。面白い漫画を読む喜びに打ち震えろ！！,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4098613174.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/124042
61,終末のワルキューレ,アジチカ,SF・ファンタジー,青年マンガ,既刊19巻,"
全世界の神VS偉人、武人、傑人!!!!
地上で横暴を極める人類に対し、神々は人類の滅亡を決定する。その決定を覆すべく選ばれたのは人類史上最強、13人の戦士たち。神々とのタイマン13番勝負に勝ち、人類を存続させることは出来るのか!?
第一回戦は北欧神話最強「トール神」VS三国志最強「呂布奉先」!人類存亡を賭けた戦いが、今始まる!!",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4867205222.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/113584
62,アクタージュ act-age,宇佐崎しろ,ヒューマンドラマ,少年マンガ,既刊12巻,"女優を目指す女子高生・夜凪は有名芸能事務所スターズのオーディションで天才的な芝居をするも不合格。それは彼女の危険な演技法に理由があった。しかし、夜凪の才能に魅せられた映画監督・黒山が役者の世界に誘う!!
",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088823516.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/113209
63,MAJOR メジャー,満田拓也,スポーツ,少年マンガ,完結・全78巻,"プロ野球選手の父を持つ元気一杯の野球少年・吾郎が、プロ野球選手という大きな夢に向かって突き進む本格派ベースボール成長ドラマ!
",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4091226809.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/17919
64,名探偵コナン,青山剛昌,ミステリー・サスペンス,少年マンガ,既刊103巻,ホームズに憧れる推理マニアの高校生。工藤新一がとある理由で小学生の体に!!小さな探偵が大活躍の奇想天外本格探偵アクション!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4098520265.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/17911
65,るろうに剣心 -明治剣客浪漫譚,和月伸宏,バトル・アクション,少年マンガ,完結・全28巻,逆刃刀を腰に下げ、不殺を誓う流浪人・緋村剣心——彼こそは維新志士の中で最強無比の伝説をもつ「人斬り抜刀斎」であった。維新後、その熱き想いで人々を守り続けた流浪人・剣心の活躍を描く！,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088727827.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/16333
66,君に届け,椎名軽穂,恋愛・ラブコメ,少女マンガ,完結・全30巻,陰気な見た目のせいで怖がられたり謝られたりしちゃう爽子。爽子に分けへだてなく接してくれる風早に憧れている。風早の言葉をきっかけに変わっていけるみたい…。夏休み前、爽子は肝試しでお化け役をやることに！？,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088440072.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/12023
67,ダンジョン飯,九井諒子,バトル・アクション,青年マンガ,既刊12巻,"待ってろドラゴン、ステーキにしてやる! 

九井諒子、初の長編連載。待望の単行本化! 
ダンジョンの奥深くでドラゴンに襲われ、
金と食料を失ってしまった冒険者・ライオス一行。
再びダンジョンに挑もうにも、このまま行けば、途中で飢え死にしてしまう……。
そこでライオスは決意する「そうだ、モンスターを食べよう! 」
スライム、バジリスク、ミミック、そしてドラゴン!!
襲い来る凶暴なモンスターを食べながら、
ダンジョンの踏破を目指せ! 冒険者よ!! ",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4047370460.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/56905
68,サマータイムレンダ,田中靖規,SF・ファンタジー,少年マンガ,完結・全13巻,幼馴染の潮が死んだ──。その報せを聞き、故郷の和歌山市・日都ケ島に帰ってきた慎平。家族との再会。滞りなく行われる葬儀。だが島にはある異変が…? ひと夏の離島サスペンス!!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088826124.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/111992
69,九龍ジェネリックロマンス,眉月じゅん,恋愛・ラブコメ,青年マンガ,既刊8巻,此処は東洋の魔窟、九龍城砦。ノスタルジー溢れる人々が暮らし、街並みに過去・現在・未来が交差するディストピア。はたらく30代の男女の非日常で贈る日常と密かな想いと関係性をあざやかに描き出す理想的なラヴロマンスを貴方に――。,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088924339.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/120820
70,よつばと!,あずまきよひこ,ヒューマンドラマ,少年マンガ,既刊15巻,夏休みの前日、とある町に強烈に元気な女の子「よつば」と、「とーちゃん」親子が引っ越してきた。遠い海の向こうの島から来た不思議な女の子。 「よつば」（６歳）に振り回される周りの人達の日常を描いたハートフル？　コメディー。,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4049135973.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/44264
71,地獄楽,賀来ゆうじ,SF・ファンタジー,少年マンガ,完結・全13巻,"最強の忍として畏れられ、抜け忍として囚われていた画眉丸は、打ち首執行人の“山田浅ェ門佐切""から無罪放免になる為の条件を突きつけられる。その条件とは極楽浄土と噂の地で「不老不死の仙薬」を手に入れること…!! 生死を悟る忍法浪漫活劇、開幕──!!
",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088825837.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/113140
72,こちら葛飾区亀有公園前派出所,秋本治,ヒューマンドラマ,少年マンガ,完結・全200巻,「やつらをひとりも帰すんじゃねえぞ!!」ガンマニアの中川と冬本が派出所を訪れ、拳銃談義に。そこに暴走族が出現し、両さんらは追撃を開始!!「早撃ち両さん!?の巻」他７編に加え、山止たつひこ笑劇場「交通安全'76」も収録。,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088807731.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/65398
73,黒子のバスケ,藤巻忠俊,学園,少年マンガ,完結・全30巻,火神大我が入学先の誠凛高校バスケ部で出会ったのは、黒子テツヤという超地味な少年。存在感も無さ過ぎる黒子に幻滅する火神だったが、実は彼は「キセキの世代」と言われた伝説の最強チームのメンバーで…!?,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/408880211X.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/65584
74,ヴィンランド・サガ,幸村誠,バトル・アクション,青年マンガ,既刊27巻,千年期の終わり頃、あらゆる地に現れ暴虐の限りを尽くした最強の民族、ヴァイキング。そのなかにあってなお、最強と謳われた伝説の戦士が息子をひとり授かった。トルフィンと名づけられた彼は、幼くして戦場を生き場所とし、血煙の彼方に幻の大陸“ヴィンランド”を目指す!!　『プラネテス』の幸村誠が描く最強民族（ヴァイキング）叙事詩、堂々登場！,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4065319102.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/10012
75,極主夫道,おおのこうすけ,ギャグ・コメディー,青年マンガ,既刊12巻,"元・最凶ヤクザが選んだのは、主夫としての道だった――。! 
話題の新鋭作家がおくる、アットホーム任侠コメディ! ! 

コミックスだけの描き下ろしエピソードも収録!!",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4107726193.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/114340
76,呪術廻戦 0: 東京都立呪術高等専門学校,芥見下々,ギャグ・コメディー,青年マンガ,完結・全1巻,自身の死刑を望む高校生・乙骨憂太（おっこつゆうた）。彼は己に憑く怨霊・里香に苦しんでいた。そんな中、｢呪い｣を祓う為学ぶ学校｢都立呪術高専｣の教師・五条悟が、乙骨を高専へ転入させ…!?　『呪術廻戦』へと繋がる前日譚、開幕！,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088816722.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/116376
77,ランウェイで笑って,猪ノ谷言葉,恋愛・ラブコメ,少年マンガ,完結・全22巻,身長は、158cmから伸びなかった・・・。藤戸千雪の夢は「パリ・コレ」モデル。モデルとして致命的な低身長ゆえに、周囲は「諦めろ」と言うが、千雪は折れない。そんなとき、千雪はクラスの貧乏男子・都村育人の諦めきれない夢「ファッションデザイナー」を「無理でしょ」と切ってしまい・・・!?「叶わない」宣告をされても、それでも一途に夢を追って走る2人の物語。,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4065240263.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/110116
78,薬屋のひとりごと,日向夏,SF・ファンタジー,少年マンガ,既刊11巻,"「小説家になろう」発! 
ヒーロー文庫の大人気タイトル『薬屋のひとりごと』が、待望のコミカライズ! 
中世の宮中で下働きをする少女・猫猫(マオマオ)。
花街で薬師をやっていた彼女が、帝の御子たちが皆短命であるこという噂を聞いてしまったところから、物語は動き始める。
持ち前の好奇心と知識欲に突き動かされ、興味本位でその原因を調べ始める猫猫の運命は――…!?
「小説家になろう」は株式会社ヒナプロジェクトの登録商標です。",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4757583249.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/111316
79,凪のお暇,コナリミサト,ギャグ・コメディー,女性マンガ,既刊10巻,場の空気を読みすぎて、他人にあわせて無理した結果、過呼吸で倒れた大島凪、28歳。仕事もやめて引っ引越して、彼氏からも逃げ出したけど…。元手100万、人生リセットコメディ!!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4253156827.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/108265
80,FAIRY TAIL フェアリーテイル,真島ヒロ,SF・ファンタジー,少年マンガ,完結・全63巻,“魔導士ギルド”‥‥それは魔導士たちに探し物から魔物討伐まで、いろんな仕事を仲介してくれるトコロ! 一人前の魔導士を目指す少女・ルーシィは、火を操る魔導士・ナツと出会い、彼のギルドに誘われる。なんと、そこはルーシィの憧れ、超ブッ飛んだお騒がせギルド「フェアリーテイル」だったのです!!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4065103908.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/10043
81,ベルセルク,三浦建太郎,SF・ファンタジー,青年マンガ,既刊41巻,巨大な剣を背負い、鉄の義手をつけた剣士・ガッツ。彼の行くところ、血の雨が降り、死体の山が築かれる……！　大ヒット！！　圧倒的迫力の叙事詩！！,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4592166914.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/34815
82,ブルーロック,ノ村優介,スポーツ,青年マンガ,既刊25巻,２０１８年、W杯、日本代表ベスト１６敗退…。これを受け日本フットボール連合は、W杯優勝のため、３００人の高校生を集めた育成寮“青い監獄（ブルーロック）”を設立。コーチを務める男・絵心甚八は、日本に必要なのは「エゴイズムにあふれるストライカーだ」と断言。無名のFW・潔 世一たちは、己をエゴイストに変える蹴落とし合いの選別に挑む！,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4065321832.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/115986
83,不滅のあなたへ,大今良時,ヒューマンドラマ,少年マンガ,既刊20巻,『聲の形』大今良時、最新作! 何者かによって“球”が、この地上に投げ入れられた。情報を収集するために機能し、姿をあらゆるものに変化させられるその球体は、死さえも超越する。ある日、少年と出会い、そして別れる。光、匂い、音、暖かさ、痛み、喜び、哀しみ……。刺激に満ちたこの世界を彷徨う、永遠の旅が始まった。これは自分を獲得していく物語。,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4065306264.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/99948
84,GIANT KILLING ジャイアントキリング,ツジトモ,スポーツ,青年マンガ,既刊61巻,達海猛35歳、職業サッカー監督。今季より弱小プロサッカークラブ『ETU イースト・ トウキョウ・ユナイテッド』の監督に就任する。現役時代も監督になってからも、好物は「番狂わせの大物喰い=ジャイアント・キリング」!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4065285372.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/60072
85,ファイアパンチ,藤本タツキ,バトル・アクション,青年マンガ,完結・全8巻,『氷の魔女』によって世界は雪と飢餓と狂気に覆われ、凍えた民は炎を求めた──。再生能力の祝福を持つ少年アグニと妹のルナ、身寄りのない兄妹を待ち受ける非情な運命とは…!? 衝戟のダークファンタジー、開幕!!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088813278.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/66092
86,その着せ替え人形は恋をする,福田晋一,恋愛・ラブコメ,青年マンガ,既刊11巻,"五条新菜（ごじょうわかな）は雛人形の顔を作る
「頭師」を目指して修業中の男子高校生。
趣味や好きなものが同年代と違うせいでクラスに
馴染めない生活を送っていたある日、
いつも友人の輪の中心にいる喜多川海夢（きたがわまりん）
と思いもよらない接点が出来て……？

YGの新ヒロインはギャルで○○!?
ドキドキ山盛りのフェチシズム・スクールライフ開始☆",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4757584253.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/115795
87,NANA ナナ,矢沢あい,恋愛・ラブコメ,少女マンガ,既刊21巻,幸せの名をもつ少女が自らの意志で、運命を、切り拓く…。小松奈々と大崎ナナ…同じ名前を持つ2人の少女が繰り広げる、感動の恋のストーリー！　2人の「ナナ」、それぞれの幸せはどこにある…？,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088568761.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/14506
88,あせとせっけん,山田金鉄,恋愛・ラブコメ,青年マンガ,完結・全11巻,女性に絶大な人気を誇る化粧品＆バス用品メーカー・リリアドロップに勤めるOL・八重島麻子（やえしまあさこ）は、重度の汗っかきなのがコンプレックス。デオドラント製品が手放せない生活の中、ある日、商品開発部の名取香太郎（なとりこうたろう）に、「君の体臭は素晴らしい！　新商品の石鹸開発のため、これから毎日、君のにおいを嗅ぎに来ます！」と言われてしまう。でも、においを嗅がれるのは、そんなに嫌でもなくて…。,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4065231094.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/115591
89,はじめの一歩,森川ジョージ,ヒューマンドラマ,少年マンガ,既刊138巻,いじめられっ子だった幕之内一歩はひょんなことからボクシングに出会い、熱中していく。一歩は『強いってどういうことだろう?』という素朴な疑問を抱えながら、持ち前の頑張りで過酷な練習に耐え抜き、強くなっていく。数多の強敵との死闘を勝ち抜き、国内屈指のハードパンチを持つ日本王者となった一歩。その次なる目標は遥かなる世界王者への道! 限りなく熱く純粋な一歩のさらなる挑戦が始まった!!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4065321786.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/6447
90,闇金ウシジマくん,真鍋昌平,ヒューマンドラマ,青年マンガ,完結・全46巻,"他の金融機関が見捨てた、返済能力に欠ける人間相手に暴利を貪る“闇金融”。

そんな業者の一つ「カウカウファイナンス」は、法定金利を遥かに超える“トゴ（10日で5割）”は当たり前、ギャンブル狂には1日3割もの高利で金を貸している。
そして若き社長・丑嶋自ら陣頭指揮を執り、今日も徹底した取り立てで業績拡大に邁進する…。",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4098602865.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/22132
91,七つの大罪,鈴木央,SF・ファンタジー,少年マンガ,完結・全41巻,"キミも夢中になる！漫画の歴史を塗り替える圧倒的スケールと
多彩なキャラクター群。

かつて王国転覆をはかったとされる伝説の逆賊・〈七つの大罪〉。
今もなお執拗に、そのお尋ね者を追うは、王国の要・一騎当千の聖騎士たち。
しかし、切なる想いを胸に秘め、〈七つの大罪〉を捜す一人の少女が現れた時、
世界の様相を一変させるとびきりの冒険が始まった！
痛快無比のヒロイック・ファンタジー、開幕。",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4065186854.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/62929
92,娘の友達,萩原あさ美,SF・ファンタジー,青年マンガ,完結・全7巻,家庭では「父親」として、会社では「課長」として、「理想的な自分」を演じるように生きてきた主人公・晃介。だが、娘の友達である美少女・古都との出会いにより、彼の人生は180度変化する。社会的には「決して抱いてはいけない感情」に支配されながらも、古都の前では自己を開放でき、社会の中で疲弊した心は癒されていく……。「社会」のために「自己」を殺す現代社会へ鋭く切り込む、背徳のサスペンスが幕を開ける。,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/406522263X.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/118093
93,マイホームヒーロー,朝基まさし,ヒューマンドラマ,青年マンガ,既刊21巻,頼れる妻と、ちょっと反抗期気味だけど可愛い高校生の娘。鳥栖哲雄の人生はそれなりに幸せだった。娘の顔に殴打の傷を見つけるまでは。「100万の命の上に俺は立っている」の山川直輝、「サイコメトラー」「でぶせん」の朝基まさしの異色コンビが描く、罪と罰、愛と戦いの物語、開幕!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4065320283.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/110330
94,SKET DANCE,篠原健太,学園,少年マンガ,完結・全32巻,"学園生活の中で、誰もが一つや二つ抱えてしまう悩みや問題。それらを何でも解決してくれる、学園生活の助っ人になってくれるヤツらがいた! 彼ら学園生活支援部――通称“スケット団""に、今日も仕事の依頼が舞い込む!!",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088707834.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/65542
95,トリコ,島袋光年,SF・ファンタジー,少年マンガ,完結・全43巻,世はグルメ時代！　IGO直属ホテルの料理長・小松は、局長から「ガララワニ」捕獲の命を受ける!!　任務に抜擢されたのは、カリスマ“美食屋”トリコ!!　二人は最高の食材を求め、命を懸けた旅へ出発するが…!!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088808851.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/65571
